review_group_id,path_a,path_b,label,phash_a,phash_b,phash_distance,equivalent,review_status,notes
near_0001,immature/1.jpg,immature/335.jpg,immature,91950e5d7a727c4a,90950f5d7a7278ca,4,False,pending,
near_0002,immature/1002.jpg,immature/276.jpg,immature,c09d1f7e3a703b30,c09d1f7e3a703b30,0,False,pending,
near_0003,immature/1006.jpg,immature/148.jpg,immature,85c81f0b7afd6825,85c01f0b7aff6825,2,False,pending,
near_0004,immature/1013.jpg,immature/982.jpg,immature,c4b71a5c3e727948,c4971a1c7f727948,4,False,pending,
near_0005,immature/1014.jpg,immature/289.jpg,immature,85424ea33ba179f5,85424ea37ba179b5,2,False,pending,
near_0006,immature/1015.jpg,immature/652.jpg,immature,c0d00f0a7f2b3eb5,c0d00f0a3f2b7e3d,4,False,pending,
near_0007,immature/1020.jpg,immature/203.jpg,immature,d1c74e090b0f2b3f,d1c64e082b0f2f3f,4,False,pending,
near_0008,immature/1025.jpg,immature/592.jpg,immature,d1c00e256e276b3f,d1c00e217e276b3f,2,False,pending,
near_0009,immature/1032.jpg,immature/214.jpg,immature,91ca4f283a3d3a3d,91ca4f283a3d3a3d,0,False,pending,
near_0010,immature/1044.jpg,immature/225.jpg,immature,c0624b253f9b3997,c0e24a273f933997,4,False,pending,
near_0011,immature/105.jpg,immature/447.jpg,immature,c0941e5d7f52786a,c0940e5d7f52787a,2,False,pending,
near_0012,immature/1056.jpg,immature/237.jpg,immature,d1c14a0c0b6f6f3d,d0c15a0c2b6f6f35,4,False,pending,
near_0013,immature/1057.jpg,immature/198.jpg,immature,c0d04f033f2f2e3d,c0d00f033f2b3e3f,4,False,pending,
near_0014,immature/1057.jpg,immature/386.jpg,immature,c0d04f033f2f2e3d,c0c20f033f2f2e3f,4,False,pending,
near_0015,immature/1067.jpg,immature/259.jpg,immature,91ce16635b2d6a2d,91ce16635b2d6a2d,0,False,pending,
near_0016,immature/1078.jpg,immature/33.jpg,immature,d0950f7e3b7a6860,c0950f5e3f7a7860,4,False,pending,
near_0017,immature/1092.jpg,immature/303.jpg,immature,c09f565f5a783a60,c09f465b5b783b60,4,False,pending,
near_0018,immature/1104.jpg,immature/314.jpg,immature,c0b41f013e1f3f5a,c0b41f013e1f3d7a,2,False,pending,
near_0019,immature/1112.jpg,immature/323.jpg,immature,c5bd5a542fc23e42,c53d5a542fc27e42,2,False,pending,
near_0020,immature/1116.jpg,immature/325.jpg,immature,c09f1f7c78503a72,809f1f7c78503af2,2,False,pending,
near_0021,immature/1125.jpg,immature/994.jpg,immature,c0f05f006a2f2f3f,c0f05f006a2f2f3f,0,False,pending,
near_0022,immature/113.jpg,immature/410.jpg,immature,d09d0e7e3f622f80,d09d0e7e3f682f80,2,False,pending,
near_0023,immature/124.jpg,immature/422.jpg,immature,85484a236baf3e37,85484a236baf3e37,0,False,pending,
near_0024,immature/134.jpg,immature/434.jpg,immature,c0b40f5e3f583a5a,c0b40f5e3f583a5a,0,False,pending,
near_0025,immature/136.jpg,immature/591.jpg,immature,c1c02f0d2d2f35b7,c1c02f0f2d2f35b5,2,False,pending,
near_0026,immature/137.jpg,immature/860.jpg,immature,c0c31b2b7daf2c25,c0c31b2b7daf2c25,0,False,pending,
near_0027,immature/138.jpg,immature/884.jpg,immature,d08f5a7f2a6c6838,d0875a7f2a6e6838,2,False,pending,
near_0028,immature/139.jpg,immature/897.jpg,immature,c04e070a4f2b7f6d,c04e170a4f2b7f2d,2,False,pending,
near_0029,immature/14.jpg,immature/349.jpg,immature,c0cb070b7c2f613f,c0cb170b7c2f213f,2,False,pending,
near_0030,immature/140.jpg,immature/910.jpg,immature,81c21a2b7f2d7a39,85c21aab7f2d7a30,4,False,pending,
near_0031,immature/142.jpg,immature/703.jpg,immature,c1b517d53f727820,c0b517d53f787a20,4,False,pending,
near_0032,immature/149.jpg,immature/460.jpg,immature,c1934e132e6b2d6d,c1934e132e6b2e6d,2,False,pending,
near_0033,immature/15.jpg,immature/584.jpg,immature,c4c20f2b2f257d27,c0c20f2b7f257c27,4,False,pending,
near_0034,immature/150.jpg,immature/469.jpg,immature,95605a8b6b0d695f,95605a8b6a8f691f,4,False,pending,
