path,exists,file_count,size_bytes,size_mb,size_gb,purpose
.venv,True,47228,6390466088,6094.423,5.952,NO_VERIFICADA
models,True,32,795476026,758.625,0.741,NO_VERIFICADA
data,True,17007,298750407,284.911,0.278,NO_VERIFICADA
results,True,469,167588444,159.825,0.156,NO_VERIFICADA
.git,True,1019,30909359,29.477,0.029,NO_VERIFICADA
vector_db,True,6,3464016,3.304,0.003,NO_VERIFICADA
scripts,True,64,709225,0.676,0.001,NO_VERIFICADA
src,True,101,584241,0.557,0.001,NO_VERIFICADA
tests,True,106,455804,0.435,0.0,NO_VERIFICADA
docs,True,46,346521,0.33,0.0,NO_VERIFICADA
app,True,8,92718,0.088,0.0,NO_VERIFICADA
notebooks,True,17,23202,0.022,0.0,NO_VERIFICADA
checkpoints,True,1,0,0.0,0.0,NO_VERIFICADA
