path,size_bytes,size_mb,category,classification
.env.example,239,0.0002,otro,pesado pero permitido
.github/ISSUE_TEMPLATE/bug_report.md,167,0.0002,documentacion,seguro para subir
.github/ISSUE_TEMPLATE/feature_request.md,186,0.0002,documentacion,seguro para subir
.github/pull_request_template.md,364,0.0003,documentacion,seguro para subir
.github/workflows/ci.yml,331,0.0003,otro,pesado pero permitido
.gitignore,1723,0.0016,otro,pesado pero permitido
AGENTS.md,1405,0.0013,documentacion,seguro para subir
CHANGELOG.md,466,0.0004,documentacion,seguro para subir
CONTRIBUTING.md,559,0.0005,documentacion,seguro para subir
LICENSE,830,0.0008,otro,pesado pero permitido
MIGRATION.md,1106,0.0011,documentacion,seguro para subir
PROJECT_STATUS.md,3612,0.0034,documentacion,seguro para subir
README.md,14047,0.0134,documentacion,seguro para subir
app/__init__.py,0,0.0,aplicacion,pesado pero permitido
app/components/__init__.py,0,0.0,aplicacion,pesado pero permitido
app/components/demo_helpers.py,11471,0.0109,aplicacion,pesado pero permitido
app/streamlit_app.py,39046,0.0372,aplicacion,pesado pero permitido
codex/00_PROMPT_MAESTRO.md,1019,0.001,documentacion,seguro para subir
codex/01_AUDITORIA_DATASET.md,473,0.0005,documentacion,seguro para subir
codex/02_ETIQUETADO_SPLIT.md,475,0.0005,documentacion,seguro para subir
codex/03_ENTRENAMIENTO_VISUAL.md,461,0.0004,documentacion,seguro para subir
codex/04_PREPARACION_LORA.md,445,0.0004,documentacion,seguro para subir
codex/05_ENTRENAMIENTO_LORA_SD15.md,510,0.0005,documentacion,seguro para subir
codex/06_CONSTRUCCION_RAG.md,414,0.0004,documentacion,seguro para subir
codex/07_INTEGRACION_APP.md,458,0.0004,documentacion,seguro para subir
codex/08_EVALUACION_DOCUMENTACION.md,516,0.0005,documentacion,seguro para subir
codex/README.md,197,0.0002,documentacion,seguro para subir
codex/tasks/01_dataset_acquisition.md,393,0.0004,documentacion,seguro para subir
codex/tasks/02_dataset_audit.md,225,0.0002,documentacion,seguro para subir
codex/tasks/03_dataset_splits.md,203,0.0002,documentacion,seguro para subir
codex/tasks/04_vision_training.md,248,0.0002,documentacion,seguro para subir
codex/tasks/05_lora_preparation.md,219,0.0002,documentacion,seguro para subir
codex/tasks/06_lora_colab.md,286,0.0003,documentacion,seguro para subir
codex/tasks/07_rag.md,204,0.0002,documentacion,seguro para subir
codex/tasks/08_integration.md,239,0.0002,documentacion,seguro para subir
codex/tasks/09_evaluation_docs.md,245,0.0002,documentacion,seguro para subir
configs/dataset.yaml,362,0.0003,configuracion,seguro para subir
configs/lora_sd15.yaml,573,0.0005,configuracion,seguro para subir
configs/project.yaml,261,0.0002,configuracion,seguro para subir
configs/rag.yaml,340,0.0003,configuracion,seguro para subir
configs/report.yaml,275,0.0003,configuracion,seguro para subir
configs/synthetic_generation.yaml,1017,0.001,configuracion,seguro para subir
configs/vision.yaml,435,0.0004,configuracion,seguro para subir
configs/vision_config.yaml,623,0.0006,configuracion,seguro para subir
configs/vision_experiments.yaml,1505,0.0014,configuracion,seguro para subir
configs/vision_v2_resnet18.yaml,1135,0.0011,configuracion,seguro para subir
data/README.md,842,0.0008,datos,pesado pero permitido
data/augmented/README.md,171,0.0002,datos,pesado pero permitido
data/documents/README.md,241,0.0002,datos,pesado pero permitido
data/lora/train/metadata.jsonl,151400,0.1444,datos,pesado pero permitido
data/metadata/.gitkeep,0,0.0,datos,pesado pero permitido
data/metadata/dataset_sources.csv,390,0.0004,datos,pesado pero permitido
data/metadata/dataset_split.csv,1022016,0.9747,datos,pesado pero permitido
data/metadata/document_sources.csv,2039,0.0019,datos,pesado pero permitido
data/metadata/documents_template.csv,238,0.0002,datos,pesado pero permitido
data/metadata/exclusions.csv,43685,0.0417,datos,pesado pero permitido
data/metadata/images_template.csv,210,0.0002,datos,pesado pero permitido
data/metadata/label_map.json,973,0.0009,datos,pesado pero permitido
data/metadata/lora_captions_template.csv,136,0.0001,datos,pesado pero permitido
data/metadata/near_duplicates_review.csv,12919,0.0123,datos,pesado pero permitido
data/metadata/rag_evaluation_queries.csv,4908,0.0047,datos,pesado pero permitido
data/metadata/vision_error_review.csv,40463,0.0386,datos,pesado pero permitido
data/processed/README.md,216,0.0002,datos,pesado pero permitido
data/raw/README.md,354,0.0003,datos,pesado pero permitido
data/sample/.gitkeep,0,0.0,datos,pesado pero permitido
data/sample/README.md,172,0.0002,datos,pesado pero permitido
data/synthetic/README.md,240,0.0002,datos,pesado pero permitido
docs/00_RESUMEN_EJECUTIVO.md,1061,0.001,documentacion,seguro para subir
docs/00_RESUMEN_PARA_EL_EQUIPO.md,1058,0.001,documentacion,seguro para subir
docs/01_ALCANCE_Y_ARQUITECTURA.md,843,0.0008,documentacion,seguro para subir
docs/01_ARQUITECTURA.md,865,0.0008,documentacion,seguro para subir
docs/02_ADQUISICION_Y_AUDITORIA_DATASET.md,769,0.0007,documentacion,seguro para subir
docs/02_PLAN_PASO_A_PASO.md,1460,0.0014,documentacion,seguro para subir
docs/03_CUMPLIMIENTO_ENTRENAMIENTO.md,997,0.001,documentacion,seguro para subir
docs/03_PLAN_DE_ENTRENAMIENTO.md,1234,0.0012,documentacion,seguro para subir
docs/04_GITHUB_DESDE_CERO.md,1032,0.001,documentacion,seguro para subir
docs/04_PLAN_RAG_E_INFORMES.md,712,0.0007,documentacion,seguro para subir
docs/05_EVALUACION_Y_EXPERIMENTOS.md,642,0.0006,documentacion,seguro para subir
docs/05_METODOLOGIA_DATASET.md,858,0.0008,documentacion,seguro para subir
docs/06_ETICA_Y_LIMITACIONES.md,536,0.0005,documentacion,seguro para subir
docs/06_METRICAS.md,640,0.0006,documentacion,seguro para subir
docs/07_ETICA_LIMITACIONES.md,592,0.0006,documentacion,seguro para subir
docs/07_GITHUB_Y_TRABAJO_EN_EQUIPO.md,618,0.0006,documentacion,seguro para subir
docs/08_CRONOGRAMA_7_DIAS.md,541,0.0005,documentacion,seguro para subir
docs/09_GUIA_CODEX.md,552,0.0005,documentacion,seguro para subir
docs/10_ESTRUCTURA_INFORME_IEEE.md,542,0.0005,documentacion,seguro para subir
docs/11_REFERENCIAS_BASE.md,461,0.0004,documentacion,seguro para subir
docs/CHANGES_IMPLEMENTED.md,1120,0.0011,documentacion,seguro para subir
docs/CONTINGENCY_PLAN.md,2433,0.0023,documentacion,seguro para subir
docs/DECISION_LOG.md,533,0.0005,documentacion,seguro para subir
docs/DEMO_SCRIPT_15_MINUTES.md,3122,0.003,documentacion,seguro para subir
docs/ETHICS_AND_LIMITATIONS.md,2490,0.0024,documentacion,seguro para subir
docs/FINAL_ARCHITECTURE.md,2922,0.0028,documentacion,seguro para subir
docs/FINAL_AUDIT.md,6754,0.0064,documentacion,seguro para subir
docs/FINAL_RESULTS.md,6824,0.0065,documentacion,seguro para subir
docs/FUNCTIONAL_AUDIT.md,4204,0.004,documentacion,seguro para subir
docs/INFORME_ACTUALIZADO_SEEDCARE_RAG_LORA.docx,45695,0.0436,documentacion,seguro para subir
docs/INFORME_AUDITORIA_FUNCIONAL.md,5670,0.0054,documentacion,seguro para subir
docs/INFORME_AUDITORIA_FUNCIONAL.pdf,8707,0.0083,documentacion,seguro para subir
docs/INFORME_PLAN_PROYECTO.docx,42811,0.0408,documentacion,seguro para subir
docs/INFORME_PLAN_PROYECTO.pdf,137995,0.1316,documentacion,seguro para subir
docs/KNOWN_LIMITATIONS.md,705,0.0007,documentacion,seguro para subir
docs/PANEL_QUESTIONS_AND_ANSWERS.md,3120,0.003,documentacion,seguro para subir
docs/PROJECT_CONTEXT_CURRENT.md,16605,0.0158,documentacion,seguro para subir
docs/PROJECT_FILES_CURRENT.txt,5796,0.0055,documentacion,seguro para subir
docs/RELEASE_CHECKLIST.md,5376,0.0051,documentacion,seguro para subir
docs/REPRODUCIBILITY.md,3513,0.0034,documentacion,seguro para subir
docs/RESULTS_VERSIONING.md,1309,0.0012,documentacion,seguro para subir
docs/RUNBOOK.md,1931,0.0018,documentacion,seguro para subir
docs/VISION_V2_EXPERIMENT_PLAN.md,3579,0.0034,documentacion,seguro para subir
docs/informe_ieee/.gitkeep,0,0.0,documentacion,seguro para subir
docs/informe_ieee/DRAFT_IEEE_REPORT.md,16797,0.016,documentacion,seguro para subir
docs/informe_ieee/README.md,497,0.0005,documentacion,seguro para subir
models/README.md,674,0.0006,modelo,pesado pero permitido
models/vision/resnet18_v2_temperature.json,534,0.0005,modelo,pesado pero permitido
